"","X","Length","Width","MeanThick","Max_Thick","Weight","Surface.Plat","Platfom_Depth","Cortex","No_Scars","Termination_type","EPA","Log_Weight","Log_Max_Thick","Log_Plat","Log_Plat_De"
"303",303,30.1,16.9,3.8,4.3,1.54,34.5810811343896,3.7,5,2,"Feather",75,0.187520720836463,0.633468455579587,1.5388385668257,0.568201724066995
"304",304,33.6,16.9,5.3,6.6,1.9,33.775,3.5,5,3,"Feather",70,0.278753600952829,0.819543935541869,1.52859535769407,0.544068044350276
"305",305,25.8,31.5,5.13333333333333,7.2,2.21,13.1946891450771,2.8,5,3,"Feather",75,0.344392273685111,0.857332496431269,1.12039916309203,0.447158031342219
"306",306,29.9,19.4,7.33333333333333,8.2,3.07,37.2,6,5,4,"Feather",75,0.487138375477186,0.913813852383717,1.5705429398819,0.778151250383644
"307",307,46.7,31.2,8.06666666666666,9.7,8.05,46.69,5.8,4,5,"Feather",75,0.905795880367869,0.986771734266245,1.66922387393081,0.763427993562937
"308",308,44.2,30.8,9.03333333333333,12.8,7.47,31.98,4.1,5,3,"Feather",65,0.873320601815399,1.10720996964787,1.50487845941022,0.612783856719735
"309",309,42.2,36.2,9.13333333333333,12.3,8.68,230.09,13.3,3,2,"Feather",62,0.938519725176492,1.0899051114394,2.36189774409588,1.12385164096709
"310",310,36.1,28.2,12.8,14.9,7.53,17.6,5.5,5,5,"Feather",76,0.876794976200701,1.17318626841227,1.24551266781415,0.740362689494244
"311",311,36.5,38.6,11.6666666666667,14.6,11.35,97.6,8,5,3,"Feather",84,1.05499586152914,1.16435285578444,1.98944981766669,0.903089986991944
"312",312,53,17.4,4.76666666666667,5.7,3.26,55.695,4.7,5,2,"Feather",80,0.513217600067939,0.755874855672491,1.74581620828184,0.672097857935718
"313",313,28.5,20.6,4.76666666666667,6.3,1.69,41.075,5.3,5,2,"Feather",85,0.227886704613674,0.799340549453582,1.6135775721071,0.724275869600789
"314",314,42.6,43,10.7666666666667,13.8,11.82,64.99,9.7,4,3,"Feather",75,1.07261747654524,1.13987908640124,1.81284653696707,0.986771734266245
"315",315,63.2,79.5,14.7,17.8,57.47,410.75,15.5,2,1,"Feather",70,1.7594411971337,1.25042000230889,2.6135775721071,1.19033169817029
"316",316,100.9,85.5,25.1333333333333,34.7,166.7,126.88,10.4,2,1,"Feather",75,2.22193559982801,1.54032947479087,2.10339316997353,1.01703333929878
"317",317,81.2,71.8,19.5333333333333,25.2,142.66,328.86,12.6,3,4,"Feather",58,2.15430221968466,1.40140054078154,2.51701105245584,1.10037054511756
"318",318,72.8,83.3,20.2333333333333,24.5,119.53,332.12,15.2,3,4,"Feather",65,2.07747691950434,1.38916608436453,2.52129502925121,1.18184358794477
"319",319,94.1,83.1,26.5,34,200.73,77.74,9.2,2,1,"Feather",62,2.30261228459909,1.53147891704226,1.89064453629525,0.963787827345555
"320",320,60.3,41.5,11.5666666666667,15.7,18.56,77.35,7,3,1,"Hinge",64,1.26857797188284,1.19589965240923,1.88846031803539,0.845098040014257
"321",321,70.5,70.6,20.7333333333333,21.8,101.27,178.705,10.3,2,2,"Feather",55,2.0054808099794,1.3384564936046,2.25213670383206,1.01283722470517
"322",322,70.8,57.8,21.5,24.4,70.12,348.69,17.7,2,1,"Feather",62,1.84584190742176,1.38738982633873,2.5424394925234,1.24797326636181
"323",323,54.4,32.1,19.9333333333333,21.6,46.32,238.51,12.2,4,3,"Feather",69,1.66576855071938,1.33445375115093,2.37750659240663,1.08635983067475
"324",324,78.8,72.6,21.3,26,141.32,620,15.5,5,3,"Feather",76,2.15020362876281,1.41497334797082,2.79239168949825,1.19033169817029
"325",325,75.9,68.3,17.8666666666667,20,80.35,415.425,14.5,2,1,"Feather",48,1.90498588109936,1.30102999566398,2.61849262853838,1.16136800223497
"326",326,81.1,53.3,15.7666666666667,17.8,63.47,308,14,1,0,"Feather",61,1.80256849831396,1.25042000230889,2.48855071650044,1.14612803567824
